# ========== Idioma Portugues para TabNotepad ==========
# O parser do idioma vai ignorar:
# - Linhas com menos de 10 caracteres
# - Linhas que começam com '#'
# Para adiciona uma nova linha, utilize o token '%n'
# $1, $2 etc.. irá ser substituido por algum valor, dependendo do contexto
#

#
# Text editor tab
#
# -Buttons
TextEditMain_OpenFile;Abrir Arquivo
PinnedDocuments_EditMultiplePins_Title;Editar multiplos pins
# $1 = PinName to be deleted
PinnedDocuments_DeleteSinglePinDialogBox_Text;Você tem certeza que deseja apagar '$1'?%n%nVocê ainda pode desfazer caso cometa um erro.
PinnedDocuments_DeleteSinglePinDialogBox_Title;Apagar Pin
# -ListView Category
PinnedDocuments_ListViewCollumsText_PinName;Pin
PinnedDocuments_ListViewCollumsText_FilePath;Local do Arquivo


#
# About
#
About_WindowTitle;Sobre TabNotepad
About_MainDesc;Feito usando Windows Forms em c# pelo%nVisual Studio 2019 Community
About_BuildNumber;Numero da build:
About_BuildDate;Data da Build:
About_LogoClickText;TabNotepad faz parte do pacote de software 'Taiyou'
About_LogoClickTitle;Sobre

#
# Settings -> UI Settings
#
# -Groupbox Title
Settings_UISettings_Hometab;Pagina Inicial
Settings_UISettings_SaveWarning;Aviso de Não-Salvo
Settings_UISettings_LanguageSetting;Configuraçoes de Idioma
# -Labels
Settings_UISettings_SaveWarningIntervalInfoLabel;Intervalo (em segundos)
Settings_UISettings_LanguageSettingsInfoLabel;Configuraçoes de idioma esta localizado em outra janela.
# -Checkbox
Settings_UISettings_SaveWarningCheckbox;Mostra o tempo em que um arquivo não foi salvo%nna barra de status
Settings_UISettings_HometabAsDefaultCheckbox;Usar Pagina Inicial como Pagina Padrão

#
# Settings -> Text Editor
#
Settings_TextEditor_WordWrapGroupBoxTitle;Quebra de Linha
Settings_TextEditor_WordWrapEnabled;Ativado
Settings_TextEditor_WordWrapToggleButton;Alternar

#
# Encoding Selector
#
# -Label
EncodingSelector_EncodingInfosLabel;Codificação
# -RadioButton
EncodingSelector_SetSelectedEncodingRadioButton;Definir codificação como padrão para novos arquivos
# -Button
EncodingSelector_ExitSaveButton;Salvar e Sair
# -Window Title
EncodingSelected_WindowTitle;Selecionar Codificação

#
# Pin Documents Window
#
PinDocument_WindowTitle;Fixar arquivo
PinDocument_PinNameLabel;Nome:
PinDocument_PinDocButton;Salvar e Sair


#
# Generic/Global
#
LanguageChangeMessageBox_Text;O idioma atual foi alterado para 'Portugues'%nReinicie o aplicativo para aplicar a alteração em tudo.
LanguageChangeMessageBox_Title;Idioma alterado
Generic_Settings;Configuraçoes

#
# Side Bar Drag Drop
#
# -Message Box
DragDrop_OpenMultipleFiles_Text;Você tem certeza que deseja abrir multiplos arquivos?
DragDrop_OpenMultipleFiles_Title;Multiplos Arquivos


#
# Language Settings Window
#
# - Buttons
LanguageSettings_ConfirmButton;Confirmar
LanguageSettings_ExitButton;Sair
# - Labels
LanguageSettings_CurrentLanguageLabel;Idioma Atual:
LanguageSettings_AvaliableLanguageFiles;Arquivos de idioma disponivel:
LanguageSettings_WindowTitle;Configuraçoes de Idioma
